"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR"
"1","Blue",2017,"AmpLag","AmpLag17",2115,36.3,7.13,29.17
"2","Blue",2017,"AmpLag","AmpLag17",2083,35.1,8.2,26.9
"3","Blue",2017,"AmpLag","AmpLag17",2083,35.7,7.34,28.36
"4","Blue",2017,"AmpLag","AmpLag17",2082,35.6,8.4,27.2
"5","Blue",2017,"AmpLag","AmpLag17",2125,34.9,7.3,27.6
"6","Blue",2017,"AmpLag","AmpLag17",2126,35.7,6.9,28.8
"7","Blue",2017,"AmpLag","AmpLag17",2122,36.5,7.7,28.8
"8","Blue",2017,"AmpLag","AmpLag17",2125,34.8,8.2,26.6
"9","Blue",2017,"AmpLag","AmpLag17",2103,35.3,8.5,26.8
"10","Red",2017,"RLFlor","RLFlor17",1509,36.1,8.7,27.4
"11","Red",2017,"RLFlor","RLFlor17",1508,35.3,8,27.3
"12","Red",2017,"RLFlor","RLFlor17",1509,35.4,7.2,28.2
"13","Red",2017,"RLFlor","RLFlor17",1508,35.2,8.7,26.5
"14","Red",2017,"RLFlor","RLFlor17",1508,34.8,7.1,27.7
"15","Red",2017,"RLFlor","RLFlor17",1512,34.3,10.5,23.8
"16","Red",2017,"RLFlor","RLFlor17",1516,36.2,6,30.2
"17","Red",2017,"RLFlor","RLFlor17",1519,37.1,8.7,28.4
"18","Red",2017,"RLFlor","RLFlor17",1520,35,9.2,25.8
"28","Yellow",2017,"NBI","NBI17",1169,32.8,14.5,18.3
"29","Yellow",2017,"NBI","NBI17",1170,34.2,9.6,24.6
"30","Yellow",2017,"NBI","NBI17",1186,31.9,18.7,13.2
"31","Yellow",2017,"NBI","NBI17",1162,33.6,9.9,23.7
"32","Yellow",2017,"NBI","NBI17",1162,32.6,6.9,25.7
"33","Yellow",2017,"NBI","NBI17",1142,33.2,8.4,24.8
"34","Yellow",2017,"NBI","NBI17",1181,33.2,13.6,19.6
"35","Yellow",2017,"NBI","NBI17",1184,34.3,11.1,23.2
"36","Yellow",2017,"NBI","NBI17",1136,32.8,8.2,24.6
"37","Yellow",2017,"NBI","NBI17",1116,35.2,7.5,27.7
"38","Yellow",2017,"NBI","NBI17",1074,33.8,12.3,21.5
"39","Yellow",2017,"NBI","NBI17",1074,34.1,9.9,24.2
"40","Yellow",2017,"NBI","NBI17",1078,34.3,7,27.3
"41","Yellow",2017,"NBI","NBI17",1076,34.5,11.2,23.3
"42","Yellow",2017,"NBI","NBI17",1170,34.7,8.6,26.1
"43","Yellow",2017,"NBI","NBI17",1169,33.2,11.9,21.3
"44","Yellow",2017,"NBI","NBI17",1169,32,12.2,19.8
"45","Yellow",2017,"NBI","NBI17",1166,35.8,7,28.8
"46","Yellow",2017,"NBI","NBI17",1166,34.2,7.2,27
"47","Yellow",2017,"CINvaLib","CINvaLib17",1262,33.4,11.7,21.7
"48","Yellow",2017,"CINvaLib","CINvaLib17",1194,33.7,13.6,20.1
"49","Yellow",2017,"CINvaLib","CINvaLib17",1048,32.5,13.7,18.8
"50","Yellow",2017,"CINvaLib","CINvaLib17",1030,33.5,9,24.5
"51","Yellow",2017,"CINvaLib","CINvaLib17",1227,33.2,16.6,16.6
"52","Yellow",2017,"CINvaLib","CINvaLib17",1151,32.2,15.1,17.1
"53","Yellow",2017,"CINvaLib","CINvaLib17",1150,31,8,23
"54","Yellow",2017,"CINvaLib","CINvaLib17",1150,32.2,12.3,19.9
"55","Yellow",2017,"CINvaLib","CINvaLib17",1168,34.1,9,25.1
"56","Yellow",2017,"CINvaLib","CINvaLib17",1207,31.8,11.6,20.2
"57","Green",2017,"NvaLib","NvaLib17",721,34.3,7.3,27
"58","Green",2017,"NvaLib","NvaLib17",721,33.9,9.8,24.1
