"","Domain","Year","Elevation","Pop","BodyTemp","SubsTemp","AirTemp"
"1","Green",2017,721,"NvaLib",22.5,NA,NA
"2","Green",2017,721,"NvaLib",22.2,22.9,22
"3","Green",2017,721,"NvaLib",22.7,23.2,22.5
"4","Green",2017,717,"NvaLib",22,22.4,21.9
"5","Green",2017,717,"NvaLib",22.2,22.4,22
"6","Green",2017,713,"NvaLib",21.9,22.3,22.2
"7","Green",2017,713,"NvaLib",21.9,21.8,21.6
"8","Green",2017,688,"NvaLib",22.5,22.8,22.4
"9","Green",2017,723,"NvaLib",22.4,22.9,22.4
"10","Green",2017,727,"NvaLib",21.7,21.7,21.6
"11","Green",2017,747,"NvaLib",23.4,22,21.9
"12","Green",2017,729,"NvaLib",22,22.2,22.3
"13","Yellow",2017,1303,"LaLoma",19.4,19.1,18.9
"14","Yellow",2017,1303,"LaLoma",19,19.2,19.1
"15","Yellow",2017,1303,"LaLoma",18.7,18.7,18.6
"16","Yellow",2017,1304,"LaLoma",19.5,19.5,19.2
"17","Yellow",2017,1304,"LaLoma",19.7,19.9,19.5
"18","Yellow",2017,1304,"LaLoma",20.1,19.8,19.4
"19","Yellow",2017,1304,"LaLoma",19.4,20,20.2
"20","Yellow",2017,1300,"LaLoma",19.3,19.6,19.2
"21","Yellow",2017,1300,"LaLoma",19.3,19.6,19
"22","Yellow",2017,1296,"LaLoma",18.6,19.5,19.5
"23","Yellow",2017,1300,"LaLoma",18.5,19.5,18.3
"24","Yellow",2017,1309,"LaLoma",17.7,18.8,17.3
"25","Yellow",2017,1305,"LaLoma",18.1,18.8,17.5
"26","Yellow",2017,1310,"LaLoma",17.7,17.8,17.6
"27","Yellow",2017,1310,"LaLoma",17.7,NA,NA
"28","Orange",2017,1083,"ArrNeg",20.2,20.4,20.3
"29","Orange",2017,1093,"ArrNeg",20.1,20.3,20.1
"30","Orange",2017,1083,"ArrNeg",20.6,20.8,20.6
"31","Orange",2017,1093,"ArrNeg",19.9,20.1,20.2
"32","Orange",2017,1009,"ArrNeg",19.3,19.3,19.3
"33","Orange",2017,1075,"ArrNeg",19.2,19.3,19.2
"34","Orange",2017,1076,"ArrNeg",20.3,19.6,19.1
"35","Orange",2017,1071,"ArrNeg",21,19.9,19.9
"36","Blue",2017,2128,"AmpLag",16,16.5,16.3
"37","Blue",2017,2116,"AmpLag",15.3,15.3,14.8
"38","Blue",2017,2115,"AmpLag",14.9,16,15.1
"39","Blue",2017,2115,"AmpLag",15.2,15.3,15
"40","Blue",2017,2144,"AmpLag",16.8,17.1,17
"41","Blue",2017,2206,"AmpLag",NA,NA,NA
"42","Blue",2017,2110,"AmpLag",15.3,14.8,14.7
"43","Blue",2017,2090,"AmpLag",NA,NA,NA
"44","Blue",2017,2117,"AmpLag",NA,NA,NA
"45","Blue",2017,2123,"AmpLag",NA,NA,NA
"46","Blue",2017,2135,"AmpLag",NA,NA,NA
"47","Blue",2017,2135,"AmpLag",NA,NA,NA
"48","Blue",2017,2173,"AmpLag",NA,NA,NA
"49","Blue",2017,2123,"AmpLag",NA,NA,NA
"50","Green",2017,790,"NvaLib",22.8,23,22.9
"51","Green",2017,813,"NvaLib",23.2,23.3,23.3
"52","Green",2017,813,"NvaLib",22.7,23.1,23.1
"53","Green",2017,995,"NvaLib",19.9,21,22.2
"54","Green",2017,971,"NvaLib",20.3,21.2,20.3
"55","Green",2017,974,"NvaLib",21.2,21.2,21.2
"56","Yellow",2017,1194,"CINvaLib",19.4,19.1,19.5
"57","Yellow",2017,1048,"CINvaLib",19.8,19.9,19.4
"58","Yellow",2017,1042,"CINvaLib",20.4,20.4,20.5
"59","Yellow",2017,986,"CINvaLib",22.8,22.3,22
"60","Yellow",2017,1227,"CINvaLib",NA,NA,NA
"61","Yellow",2017,1151,"CINvaLib",20.8,20.3,20.2
"62","Yellow",2017,1150,"CINvaLib",NA,20.2,20
"63","Yellow",2017,1150,"CINvaLib",20.1,20.2,20.1
"64","Yellow",2017,1150,"CINvaLib",NA,20.7,20.6
"65","Yellow",2017,1168,"CINvaLib",20.6,20.6,20.5
"66","Yellow",2017,1168,"CINvaLib",NA,21,20.9
"67","Yellow",2017,1168,"CINvaLib",20.8,20.5,20.3
"68","Yellow",2017,1173,"CINvaLib",20.9,20.9,21
"69","Yellow",2017,1176,"CINvaLib",20.5,20.8,20.9
"70","Yellow",2017,1207,"CINvaLib",NA,20.1,20
"71","Yellow",2017,1170,"NBI",18.9,19,19.2
"72","Yellow",2017,1186,"NBI",NA,19.8,18.3
"73","Yellow",2017,1162,"NBI",NA,23.1,22.9
"74","Yellow",2017,1162,"NBI",NA,23,22.8
"75","Yellow",2017,1142,"NBI",21.7,21.5,21.2
"76","Yellow",2017,1181,"NBI",21.3,21.3,21.2
"77","Yellow",2017,1184,"NBI",21.6,21.8,21.5
"78","Yellow",2017,1136,"NBI",20.6,20.9,20.8
"79","Yellow",2017,1116,"NBI",20.2,20.1,20
"80","Yellow",2017,1082,"NBI",20.6,20.6,20.3
"81","Yellow",2017,1074,"NBI",20.1,20.2,19.9
"82","Yellow",2017,1074,"NBI",20.5,20.5,22
"83","Yellow",2017,1078,"NBI",20.7,20.9,20
"84","Yellow",2017,1076,"NBI",21.4,20.7,20.8
"85","Orange",2017,868,"PlanLib",20.9,21.8,20.6
"86","Orange",2017,868,"PlanLib",20.9,21.8,20.6
"87","Orange",2017,921,"PlanLib",20.9,20.8,20.5
"88","Orange",2017,928,"PlanLib",21,21.1,20.7
"89","Orange",2017,930,"PlanLib",19.3,19.4,19.4
"90","Orange",2017,927,"PlanLib",19.5,21.3,21
"91","Orange",2017,922,"PlanLib",19.2,19.2,19.2
"92","Orange",2017,909,"PlanLib",19.4,19.3,19.2
"93","Orange",2017,916,"PlanLib",19.8,19.6,19.6
"94","Orange",2017,922,"PlanLib",20.3,19.4,19.3
"95","Orange",2017,924,"PlanLib",19.6,20.9,19.6
"96","Blue",2017,2036,"AmpLag",15.2,15.1,15
"97","Blue",2017,2007,"AmpLag",14.7,15,14.7
"98","Blue",2017,2083,"AmpLag",14.4,14.2,14
"99","Blue",2017,2083,"AmpLag",14.3,14.4,14.2
"100","Blue",2017,2082,"AmpLag",14.2,14.3,14.3
"101","Blue",2017,2125,"AmpLag",14.6,14.3,14.2
"102","Blue",2017,2126,"AmpLag",14.6,14.8,14.5
"103","Blue",2017,2123,"AmpLag",14.5,14.5,14.3
"104","Blue",2017,2122,"AmpLag",14.5,14.5,14.3
"105","Blue",2017,2122,"AmpLag",14.6,14.6,14.5
"106","Blue",2017,2119,"AmpLag",14.8,14.8,14.6
"107","Blue",2017,2125,"AmpLag",14.6,14.9,14.8
"108","Blue",2017,2125,"AmpLag",14.9,14.9,14.6
"109","Blue",2017,2125,"AmpLag",14.6,14.8,14.4
"110","Blue",2017,2103,"AmpLag",14.3,14.3,14.9
"111","Blue",2017,2131,"AmpLag",14.7,14.8,14.6
"112","Blue",2017,2130,"AmpLag",14.5,14.5,14.3
"113","Yellow",2017,1170,"NBI",19.9,18.3,20.1
"114","Yellow",2017,1169,"NBI",19.1,18.2,19.4
"115","Yellow",2017,1169,"NBI",19.2,20.3,18.5
"116","Yellow",2017,1166,"NBI",19.3,18.8,18.3
"117","Yellow",2017,1068,"NBI",23.7,25,23.9
"118","Yellow",2017,1062,"NBI",22.8,22.7,22.8
"119","Yellow",2017,1061,"NBI",22.9,22.8,22.7
"120","Yellow",2017,1062,"NBI",22.5,22.5,22.4
"121","Yellow",2017,1061,"NBI",22.9,22.7,22.8
"122","Yellow",2017,1061,"NBI",22.8,22.8,22.5
"123","Green",2017,293,"SatMor",23.8,24.6,23.2
"124","Green",2017,286,"SatMor",23.4,23,23
"125","Green",2017,291,"SatMor",23.4,23.4,23.4
"126","Green",2017,291,"SatMor",24.4,23.6,23.6
"127","Green",2017,292,"SatMor",23.8,23.8,23.8
"128","Green",2017,297,"SatMor",24.5,24.8,24.7
"129","Green",2017,300,"SatMor",23.7,23.4,23.2
"130","Green",2017,311,"SatMor",24,23,23.5
"131","Green",2017,310,"SatMor",NA,NA,NA
"132","Green",2017,316,"SatMor",NA,28,27.9
"133","Green",2017,314,"SatMor",27,27.1,27.6
"134","Green",2017,314,"SatMor",27.6,27.5,27.2
"135","Green",2017,314,"SatMor",28.1,28.3,28.3
"136","Green",2017,314,"SatMor",27.5,27.4,27.2
"137","Green",2017,314,"SatMor",NA,26.2,26.7
"138","Green",2017,315,"SatMor",26.8,27,27.3
"139","Green",2017,317,"SatMor",27.2,27.3,27.3
