"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmin_hab","Cool_T"
"1","Blue",2017,"AmpLag","AmpLag17",2115,36.3,7.13,29.17,"AmpLag",12.3153307692308,5.18533076923077
"2","Blue",2017,"AmpLag","AmpLag17",2083,35.1,8.2,26.9,"AmpLag",12.3153307692308,4.11533076923077
"3","Blue",2017,"AmpLag","AmpLag17",2083,35.7,7.34,28.36,"AmpLag",12.3153307692308,4.97533076923077
"4","Blue",2017,"AmpLag","AmpLag17",2082,35.6,8.4,27.2,"AmpLag",12.3153307692308,3.91533076923077
"5","Blue",2017,"AmpLag","AmpLag17",2125,34.9,7.3,27.6,"AmpLag",12.3153307692308,5.01533076923077
"6","Blue",2017,"AmpLag","AmpLag17",2126,35.7,6.9,28.8,"AmpLag",12.3153307692308,5.41533076923077
"7","Blue",2017,"AmpLag","AmpLag17",2122,36.5,7.7,28.8,"AmpLag",12.3153307692308,4.61533076923077
"8","Blue",2017,"AmpLag","AmpLag17",2125,34.8,8.2,26.6,"AmpLag",12.3153307692308,4.11533076923077
"9","Blue",2017,"AmpLag","AmpLag17",2103,35.3,8.5,26.8,"AmpLag",12.3153307692308,3.81533076923077
"10","Red",2017,"RLFlor","RLFlor17",1509,36.1,8.7,27.4,"RLFlor",16.5797080665813,7.8797080665813
"11","Red",2017,"RLFlor","RLFlor17",1508,35.3,8,27.3,"RLFlor",16.5797080665813,8.5797080665813
"12","Red",2017,"RLFlor","RLFlor17",1509,35.4,7.2,28.2,"RLFlor",16.5797080665813,9.3797080665813
"13","Red",2017,"RLFlor","RLFlor17",1508,35.2,8.7,26.5,"RLFlor",16.5797080665813,7.8797080665813
"14","Red",2017,"RLFlor","RLFlor17",1508,34.8,7.1,27.7,"RLFlor",16.5797080665813,9.4797080665813
"15","Red",2017,"RLFlor","RLFlor17",1512,34.3,10.5,23.8,"RLFlor",16.5797080665813,6.0797080665813
"16","Red",2017,"RLFlor","RLFlor17",1516,36.2,6,30.2,"RLFlor",16.5797080665813,10.5797080665813
"17","Red",2017,"RLFlor","RLFlor17",1519,37.1,8.7,28.4,"RLFlor",16.5797080665813,7.8797080665813
"18","Red",2017,"RLFlor","RLFlor17",1520,35,9.2,25.8,"RLFlor",16.5797080665813,7.3797080665813
"28","Yellow",2017,"NBI","NBI17",1169,32.8,14.5,18.3,"NBI",18.5442332912989,4.04423329129887
"29","Yellow",2017,"NBI","NBI17",1170,34.2,9.6,24.6,"NBI",18.5442332912989,8.94423329129887
"30","Yellow",2017,"NBI","NBI17",1186,31.9,18.7,13.2,"NBI",18.5442332912989,0.155766708701133
"31","Yellow",2017,"NBI","NBI17",1162,33.6,9.9,23.7,"NBI",18.5442332912989,8.64423329129887
"32","Yellow",2017,"NBI","NBI17",1162,32.6,6.9,25.7,"NBI",18.5442332912989,11.6442332912989
"33","Yellow",2017,"NBI","NBI17",1142,33.2,8.4,24.8,"NBI",18.5442332912989,10.1442332912989
"34","Yellow",2017,"NBI","NBI17",1181,33.2,13.6,19.6,"NBI",18.5442332912989,4.94423329129887
"35","Yellow",2017,"NBI","NBI17",1184,34.3,11.1,23.2,"NBI",18.5442332912989,7.44423329129887
"36","Yellow",2017,"NBI","NBI17",1136,32.8,8.2,24.6,"NBI",18.5442332912989,10.3442332912989
"37","Yellow",2017,"NBI","NBI17",1116,35.2,7.5,27.7,"NBI",18.5442332912989,11.0442332912989
"38","Yellow",2017,"NBI","NBI17",1074,33.8,12.3,21.5,"NBI",18.5442332912989,6.24423329129887
