"","Domain","Elevation","Year","Pop","CTmax","CTmin","TTR","Weight","SVL","WT","Cool_T","Tmax_hab","Tmin_hab"
"1","Blue",2083,2017,"AmpLag",35.7,7.34,28.36,1.56,24.4,17.9375871794872,4.97533076923077,17.7624128205128,12.3153307692308
"2","Blue",2083,2017,"AmpLag",35.1,8.2,26.9,1.35,21.3,17.3375871794872,4.11533076923077,17.7624128205128,12.3153307692308
"3","Blue",2122,2017,"AmpLag",36.5,7.7,28.8,1.68,23.9,18.7375871794872,4.61533076923077,17.7624128205128,12.3153307692308
"4","Blue",2082,2017,"AmpLag",35.6,8.4,27.2,1.22,22.2,17.8375871794872,3.91533076923077,17.7624128205128,12.3153307692308
"5","Blue",2103,2017,"AmpLag",35.3,8.5,26.8,1.5,23.4,17.5375871794872,3.81533076923077,17.7624128205128,12.3153307692308
"6","Blue",2126,2017,"AmpLag",35.7,6.9,28.8,1.43,27.1,17.9375871794872,5.41533076923077,17.7624128205128,12.3153307692308
"7","Blue",2115,2017,"AmpLag",36.3,7.13,29.17,1.49,24.7,18.5375871794872,5.18533076923077,17.7624128205128,12.3153307692308
"8","Blue",2125,2017,"AmpLag",34.9,7.3,27.6,1.62,24.3,17.1375871794872,5.01533076923077,17.7624128205128,12.3153307692308
"9","Blue",2125,2017,"AmpLag",34.8,8.2,26.6,1.8,26.2,17.0375871794872,4.11533076923077,17.7624128205128,12.3153307692308
"10","Red",1509,2017,"RLFlor",36.1,8.7,27.4,1.72,27.1,12.2575608194622,7.8797080665813,23.8424391805378,16.5797080665813
"11","Red",1508,2017,"RLFlor",35.3,8,27.3,0.51,21.1,11.4575608194622,8.5797080665813,23.8424391805378,16.5797080665813
"12","Red",1509,2017,"RLFlor",35.4,7.2,28.2,1.36,NA,11.5575608194622,9.3797080665813,23.8424391805378,16.5797080665813
"13","Red",1508,2017,"RLFlor",35.2,8.7,26.5,0.41,15.8,11.3575608194622,7.8797080665813,23.8424391805378,16.5797080665813
"14","Red",1508,2017,"RLFlor",34.8,7.1,27.7,0.7,22.99,10.9575608194622,9.4797080665813,23.8424391805378,16.5797080665813
"15","Red",1512,2017,"RLFlor",34.3,10.5,23.8,0.69,20.67,10.4575608194622,6.0797080665813,23.8424391805378,16.5797080665813
"16","Red",1516,2017,"RLFlor",36.2,6,30.2,1.07,24.42,12.3575608194622,10.5797080665813,23.8424391805378,16.5797080665813
"17","Red",1519,2017,"RLFlor",37.1,8.7,28.4,0.44,NA,13.2575608194622,7.8797080665813,23.8424391805378,16.5797080665813
"18","Red",1520,2017,"RLFlor",35,9.2,25.8,0.54,19.2,11.1575608194622,7.3797080665813,23.8424391805378,16.5797080665813
"28","Yellow",1186,2017,"NBI",31.9,18.7,13.2,0.28,14.2,8.91584993694829,0.155766708701133,22.9841500630517,18.5442332912989
"29","Yellow",1169,2017,"NBI",32.8,14.5,18.3,0.22,12.3,9.81584993694829,4.04423329129887,22.9841500630517,18.5442332912989
"30","Yellow",1181,2017,"NBI",33.2,13.6,19.6,0.82,20.6,10.2158499369483,4.94423329129887,22.9841500630517,18.5442332912989
"31","Yellow",1162,2017,"NBI",33.6,9.9,23.7,0.35,15.5,10.6158499369483,8.64423329129887,22.9841500630517,18.5442332912989
"32","Yellow",1136,2017,"NBI",32.8,8.2,24.6,0.31,15.9,9.81584993694829,10.3442332912989,22.9841500630517,18.5442332912989
"33","Yellow",1184,2017,"NBI",34.3,11.1,23.2,2.55,31.4,11.3158499369483,7.44423329129887,22.9841500630517,18.5442332912989
"34","Yellow",1142,2017,"NBI",33.2,8.4,24.8,3.01,32.4,10.2158499369483,10.1442332912989,22.9841500630517,18.5442332912989
"35","Yellow",1162,2017,"NBI",32.6,6.9,25.7,3.06,30.5,9.6158499369483,11.6442332912989,22.9841500630517,18.5442332912989
