"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmax_hab","WT"
"1","Blue",2017,"AmpLag","AmpLag17",2115,36.3,7.13,29.17,"AmpLag",17.7624128205128,18.5375871794872
"2","Blue",2017,"AmpLag","AmpLag17",2083,35.1,8.2,26.9,"AmpLag",17.7624128205128,17.3375871794872
"3","Blue",2017,"AmpLag","AmpLag17",2083,35.7,7.34,28.36,"AmpLag",17.7624128205128,17.9375871794872
"4","Blue",2017,"AmpLag","AmpLag17",2082,35.6,8.4,27.2,"AmpLag",17.7624128205128,17.8375871794872
"5","Blue",2017,"AmpLag","AmpLag17",2125,34.9,7.3,27.6,"AmpLag",17.7624128205128,17.1375871794872
"6","Blue",2017,"AmpLag","AmpLag17",2126,35.7,6.9,28.8,"AmpLag",17.7624128205128,17.9375871794872
"7","Blue",2017,"AmpLag","AmpLag17",2122,36.5,7.7,28.8,"AmpLag",17.7624128205128,18.7375871794872
"8","Blue",2017,"AmpLag","AmpLag17",2125,34.8,8.2,26.6,"AmpLag",17.7624128205128,17.0375871794872
"9","Blue",2017,"AmpLag","AmpLag17",2103,35.3,8.5,26.8,"AmpLag",17.7624128205128,17.5375871794872
"10","Red",2017,"RLFlor","RLFlor17",1509,36.1,8.7,27.4,"RLFlor",23.8424391805378,12.2575608194622
"11","Red",2017,"RLFlor","RLFlor17",1508,35.3,8,27.3,"RLFlor",23.8424391805378,11.4575608194622
"12","Red",2017,"RLFlor","RLFlor17",1509,35.4,7.2,28.2,"RLFlor",23.8424391805378,11.5575608194622
"13","Red",2017,"RLFlor","RLFlor17",1508,35.2,8.7,26.5,"RLFlor",23.8424391805378,11.3575608194622
"14","Red",2017,"RLFlor","RLFlor17",1508,34.8,7.1,27.7,"RLFlor",23.8424391805378,10.9575608194622
"15","Red",2017,"RLFlor","RLFlor17",1512,34.3,10.5,23.8,"RLFlor",23.8424391805378,10.4575608194622
"16","Red",2017,"RLFlor","RLFlor17",1516,36.2,6,30.2,"RLFlor",23.8424391805378,12.3575608194622
"17","Red",2017,"RLFlor","RLFlor17",1519,37.1,8.7,28.4,"RLFlor",23.8424391805378,13.2575608194622
"18","Red",2017,"RLFlor","RLFlor17",1520,35,9.2,25.8,"RLFlor",23.8424391805378,11.1575608194622
