"","Domain","Elevation","Year","Pop","Pop2","Indv","Weight","SVL","n","Temperature"
"1","Green",123,2017,"GNBII_II","GNBII17_II","GNBII_1",2.93,32.2,"Temp1",22.5
"2","Green",122,2017,"GNBII_II","GNBII17_II","GNBII_2",0.53,18.2,"Temp1",20
"3","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_3",2.18,27.2,"Temp1",18.3
"4","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_4",2.19,27.4,"Temp1",19.4
"5","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_5",2.38,29.4,"Temp1",22.3
"6","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_6",1.33,25.2,"Temp1",21.4
"7","Green",125,2017,"GNBII_II","GNBII17_II","GNBII_7",2.04,27.4,"Temp1",20
"8","Green",251,2017,"GNBII","GNBII17","GNB_1",1.55,26.9,"Temp1",23.2
"9","Green",264,2017,"GNBII","GNBII17","GNB_2",1.22,25.4,"Temp1",20.4
"10","Green",242,2017,"GNBII","GNBII17","GNB_3",1.88,27.7,"Temp1",21
"11","Green",250,2017,"GNBII","GNBII17","GNB_4",1.24,23.9,"Temp1",20
"12","Green",242,2017,"GNBII","GNBII17","GNB_5",2,28.4,"Temp1",20.9
"13","Green",263,2017,"GNBII","GNBII17","GNB_6",1.36,24.7,"Temp1",21.8
"14","Green",247,2017,"GNBII","GNBII17","GNB_7",1.43,26.2,"Temp1",20.4
"15","Green",230,2017,"GNBII","GNBII17","GNB_8",2.45,28.2,"Temp1",20.1
"16","Green",247,2017,"GNBII","GNBII17","GNB_9",0.67,19.5,"Temp1",22.4
"17","Green",247,2017,"GNBII","GNBII17","GNB_10",1.59,26.1,"Temp1",20.1
"18","Green",293,2017,"SatMor","SatMor17","SatMor_1",1.33,24,"Temp1",22.6
"19","Green",310,2017,"SatMor","SatMor17","SatMor_2",0.97,20.9,"Temp1",21.5
"20","Green",316,2017,"SatMor","SatMor17","SatMor_3",0.98,23.1,"Temp1",16.5
"21","Green",314,2017,"SatMor","SatMor17","SatMor_4",1.02,23.3,"Temp1",21.9
"22","Green",317,2017,"SatMor","SatMor17","SatMor_5",0.89,21.2,"Temp1",21.6
"23","Green",312,2017,"SatMor","SatMor17","SatMor_6",1.28,22.4,"Temp1",21.9
"24","Green",312,2017,"SatMor","SatMor17","SatMor_7",0.86,22.5,"Temp1",18
"25","Green",305,2017,"SatMor","SatMor17","SatMor_8",1.17,22.1,"Temp1",21.8
"26","Green",307,2017,"SatMor","SatMor17","SatMor_9",1.29,24.3,"Temp1",24.5
"27","Green",307,2017,"SatMor","SatMor17","SatMor_10",1.22,23,"Temp1",22.7
"28","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1",1.34,25.83,"Temp1",20
"29","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2",1.4,23.63,"Temp1",20.2
"30","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3",1.06,24.31,"Temp1",19.6
"31","Green",713,2017,"NvaLib","NvaLib17","NvaLib_4",1.6,27.18,"Temp1",22.9
"32","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5",NA,NA,"Temp1",NA
"33","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6",1.46,25.38,"Temp1",19.4
"34","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7",1.75,27.03,"Temp1",21.5
"35","Green",727,2017,"NvaLib","NvaLib17","NvaLib_8",1.58,24.54,"Temp1",22.5
