"","Domain","Elevation","Year","Pop","Pop2","Indv","n","Temperature"
"1","Green",251,2017,"GNBII","GNBII17","GnalNBII_1","Temp1",23.2
"2","Green",264,2017,"GNBII","GNBII17","GnalNBII_2","Temp1",20.4
"3","Green",242,2017,"GNBII","GNBII17","GnalNBII_3","Temp1",21
"4","Green",250,2017,"GNBII","GNBII17","GnalNBII_4","Temp1",20
"5","Green",242,2017,"GNBII","GNBII17","GnalNBII_5","Temp1",20.9
"6","Green",263,2017,"GNBII","GNBII17","GnalNBII_6","Temp1",21.8
"7","Green",247,2017,"GNBII","GNBII17","GnalNBII_7","Temp1",20.4
"8","Green",230,2017,"GNBII","GNBII17","GnalNBII_8","Temp1",20.1
"9","Green",247,2017,"GNBII","GNBII17","GnalNBII_9","Temp1",22.4
"10","Green",247,2017,"GNBII","GNBII17","GnalNBII_10","Temp1",20.1
"11","Green",293,2017,"SatMor","SatMor17","SatMor_1","Temp1",22.6
"12","Green",310,2017,"SatMor","SatMor17","SatMor_2","Temp1",21.5
"13","Green",316,2017,"SatMor","SatMor17","SatMor_3","Temp1",16.5
"14","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp1",21.9
"15","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp1",21.6
"16","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp1",21.9
"17","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp1",18
"18","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp1",21.8
"19","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp1",24.5
"20","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp1",22.7
"21","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp1",20
"22","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp1",20.2
"23","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp1",19.6
"24","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp1",22.9
"25","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp1",NA
"26","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp1",19.4
"27","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp1",21.5
"28","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp1",22.5
"29","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp1",20.6
"30","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp1",24
"31","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp1",26.5
"32","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp1",19.2
